description,price,rating,review_count,url
"OnePlus Nord 5G (Gray Onyx, 12GB RAM, 256GB Storage)","29,999",4.3 out of 5 stars,"67,948",https://www.amazon.in/OnePlus-Nord-Gray-256GB-Storage/dp/B08697WT6D/ref=sr_1_21?dchild=1&keywords=phones&qid=1621697197&sr=8-21
"OnePlus Nord 5G (Blue Marble, 12GB RAM, 256GB Storage)","29,999",4.3 out of 5 stars,"67,948",https://www.amazon.in/OnePlus-Nord-Marble-256GB-Storage/dp/B0869855B8/ref=sr_1_22?dchild=1&keywords=phones&qid=1621697197&sr=8-22
"I KALL K260 Smartphone (5.5 Inch, 2GB, 16GB, 4000 mAh Battery) (Green)","4,752",1.5 out of 5 stars,7,https://www.amazon.in/KALL-K260-Smartphone-Battery-Green/dp/B0928NT5XM/ref=sr_1_23?dchild=1&keywords=phones&qid=1621697197&sr=8-23
"Redmi 9 (Sporty Orange, 4GB RAM, 128GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","9,999",4.2 out of 5 stars,"36,133",https://www.amazon.in/Test-Dummy_March_2020_88-Black-128BG-Storage/dp/B086978F2S/ref=sr_1_24?dchild=1&keywords=phones&qid=1621697197&sr=8-24
"Samsung Galaxy M12 (White,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","9,999",4.0 out of 5 stars,"11,644",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJGNQS7/ref=sr_1_25?dchild=1&keywords=phones&qid=1621697197&sr=8-25
"I KALL K800 4G Smartphone (2GB, 16GB, 5.5 Inch) (Blue)","4,170",1.0 out of 5 stars,2,https://www.amazon.in/KALL-K800-Smartphone-16GB-Inch/dp/B0928M3HVQ/ref=sr_1_26?dchild=1&keywords=phones&qid=1621697197&sr=8-26
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","12,499",4.0 out of 5 stars,"11,644",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJG8MQM/ref=sr_1_27?dchild=1&keywords=phones&qid=1621697197&sr=8-27
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G &Alexa Hands-Free Capable","12,999",4.2 out of 5 stars,"50,228",https://www.amazon.in/Test-Exclusive-551/dp/B0784D862L/ref=sr_1_28?dchild=1&keywords=phones&qid=1621697197&sr=8-28
"itel A48 (Gradation Green, 2GB RAM, 32GB Storage)","5,399",3.8 out of 5 stars,249,https://www.amazon.in/itel-Gradation-Green-32GB-Storage/dp/B08KVGW8P6/ref=sr_1_29?dchild=1&keywords=phones&qid=1621697197&sr=8-29
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","12,499",4.2 out of 5 stars,"129,025",https://www.amazon.in/Samsung-Galaxy-Raven-Black-Storage/dp/B07HGH8D2R/ref=sr_1_30?dchild=1&keywords=phones&qid=1621697197&sr=8-30
"I KALL K2 Plus 4G Smartphone (4GB, 64GB, Dual Sim) (Ocean Blue)","5,699",,,https://www.amazon.in/KALL-K2-Plus-Smartphone-Ocean/dp/B0956ZTCC7/ref=sr_1_31?dchild=1&keywords=phones&qid=1621697197&sr=8-31
"Samsung Galaxy M11 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","8,999",4.1 out of 5 stars,"1,231",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KDZGVK/ref=sr_1_32?dchild=1&keywords=phones&qid=1621697197&sr=8-32
Anik HOMTOM H3 5.5 Inch Display { 3GB RAM / 32GB Storage | 4G Volte Smartphone with Finger Print Sensor & Face Unlock},"5,499",4.6 out of 5 stars,3,https://www.amazon.in/BlackBerry-Black-Smartphone-Display-Storage/dp/B0828T5RBG/ref=sr_1_33?dchild=1&keywords=phones&qid=1621697202&sr=8-33
"Micromax X741 (Grey Ultra Bright LED Light, 1750mAh)","1,445",3.8 out of 5 stars,"2,355",https://www.amazon.in/Micromax-X741-Ultra-Bright-1750mAh/dp/B07WWLQM8Q/ref=sr_1_34?dchild=1&keywords=phones&qid=1621697202&sr=8-34
"TECNO Spark 7 (Spruce Green, 3GB RAM, 64 GB Storage) - 6000mAh Battery|16 MP Dual Camera| 6.52” Dot Notch Display","8,499",3.9 out of 5 stars,111,https://www.amazon.in/TECNO-Spark-Spruce-Green-Storage/dp/B091FLTCDY/ref=sr_1_35?dchild=1&keywords=phones&qid=1621697202&sr=8-35
Research in motion-BB BlackBerry Z10 with 8MP Primary Camera (White),"5,999",,,https://www.amazon.in/Research-motion-BB-BlackBerry-Z10-Primary/dp/B092MRFVP6/ref=sr_1_36?dchild=1&keywords=phones&qid=1621697202&sr=8-36
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","12,999",4.2 out of 5 stars,"19,427",https://www.amazon.in/Redmi-Note-Pro-Interstellar-Snapdragon/dp/B077PWBC78/ref=sr_1_37?dchild=1&keywords=phones&qid=1621697202&sr=8-37
"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","7,499",4.2 out of 5 stars,"40,778",https://www.amazon.in/Redmi-9A-3GB-32GB-Storage/dp/B08697N43M/ref=sr_1_38?dchild=1&keywords=phones&qid=1621697202&sr=8-38
Redmi 9A (Midnight Black 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",4.2 out of 5 stars,"40,778",https://www.amazon.in/Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=sr_1_39?dchild=1&keywords=phones&qid=1621697202&sr=8-39
"itel A48 (Gradation Purple, 2GB RAM, 32GB Storage)","5,399",3.8 out of 5 stars,249,https://www.amazon.in/itel-Gradation-Purple-32GB-Storage/dp/B08KVCZMFS/ref=sr_1_40?dchild=1&keywords=phones&qid=1621697202&sr=8-40
Xifo Leeco LETV X527 (3 GB 32 GB) 4G Volte Smartphone (Rosegold),"5,785",1.7 out of 5 stars,4,https://www.amazon.in/Xifo-Leeco-Volte-Smartphone-Rosegold/dp/B0922V6196/ref=sr_1_41?dchild=1&keywords=phones&qid=1621697202&sr=8-41
"Redmi Note 10 (Aqua Green, 6GB RAM, 128GB Storage) - Amoled Dot Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","14,499",4.0 out of 5 stars,"17,944",https://www.amazon.in/Test-Exclusive_2020_1143-Multi-3GB-Storage/dp/B089MSG56S/ref=sr_1_42?dchild=1&keywords=phones&qid=1621697202&sr=8-42
Energizer Energy E20,"1,512",4.7 out of 5 stars,8,https://www.amazon.in/Energizer-Energy-E20/dp/B08TTB9DMD/ref=sr_1_43?dchild=1&keywords=phones&qid=1621697202&sr=8-43
Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",4.2 out of 5 stars,"40,778",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_44?dchild=1&keywords=phones&qid=1621697202&sr=8-44
"I KALL K8 Smartphone 4G Volte (2GB, 16GB) (Red)","4,170",2.5 out of 5 stars,3,https://www.amazon.in/KALL-K8-Smartphone-Volte-16GB/dp/B0928N29G5/ref=sr_1_45?dchild=1&keywords=phones&qid=1621697202&sr=8-45
"Panasonic Eluga I6 (Black, 2GB Ram, 16GB Storage) - 3 Month No Cost EMI","4,947",3.3 out of 5 stars,"1,008",https://www.amazon.in/Panasonic-Eluga-Black-16GB-Storage/dp/B085W2YQ1F/ref=sr_1_46?dchild=1&keywords=phones&qid=1621697202&sr=8-46
"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)","22,999",4.4 out of 5 stars,"52,869",https://www.amazon.in/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1868F/ref=sr_1_47?dchild=1&keywords=phones&qid=1621697202&sr=8-47
"realme C21 (Cross Blue, 4GB RAM, 64GB Storage) Without Offers","9,690",3.3 out of 5 stars,8,https://www.amazon.in/realme-Cross-Storage-Without-Offers/dp/B092FKWDVY/ref=sr_1_48?dchild=1&keywords=phones&qid=1621697202&sr=8-48
"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","8,799",4.2 out of 5 stars,"36,133",https://www.amazon.in/Redmi-Sporty-Orange-64GB-Storage/dp/B08696W3B3/ref=sr_1_49?dchild=1&keywords=phones&qid=1621697207&sr=8-49
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","12,499",4.0 out of 5 stars,"11,644",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJBPCTR/ref=sr_1_50?dchild=1&keywords=phones&qid=1621697207&sr=8-50
"OPPO A31 (Lake Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","9,990",4.2 out of 5 stars,"11,240",https://www.amazon.in/Green-Storage-Additional-Exchange-Offers/dp/B089MV4H2W/ref=sr_1_51?dchild=1&keywords=phones&qid=1621697207&sr=8-51
"Mini Phone, Cell Phone V66+ Ultra‑Thin Sim Card Dual Card Slot for Students for School for Kids(Blue)","6,619",,,https://www.amazon.in/Mini-Phone-Ultra%E2%80%91Thin-Students-School/dp/B092Q3VLF9/ref=sr_1_52?dchild=1&keywords=phones&qid=1621697207&sr=8-52
"Mini Phone, Cell Phone V66+ Ultra‑Thin Sim Card Dual Card Slot for Students for School for Kids(Black)","6,599",,,https://www.amazon.in/Phone-Ultra%E2%80%91Thin-Students-School-Black/dp/B092PQ5LHX/ref=sr_1_53?dchild=1&keywords=phones&qid=1621697207&sr=8-53
KECHAODA K33 Slim Card Size Dual Sim Phone with External Memory Slot 1.44 inch Display(Gold),985,3.7 out of 5 stars,155,https://www.amazon.in/KECHAODA-Phone-External-Memory-Display/dp/B07CTHV1JF/ref=sr_1_54?dchild=1&keywords=phones&qid=1621697207&sr=8-54
"Nokia C3 Android 10 Smartphone with 2GB RAM 16GB Storage, All-Day Battery and Fingerprint Sensor – Sand","6,999",3.5 out of 5 stars,478,https://www.amazon.in/Nokia-C3-Android-Smartphone-Fingerprint/dp/B086KCCMBT/ref=sr_1_56?dchild=1&keywords=phones&qid=1621697207&sr=8-56
"Tecno Spark 7 (Spruce Green, 2GB RAM, 32 GB Storage) - 6000mAh Battery|16 MP Dual Camera| 6.52” Dot Notch Display","7,499",3.9 out of 5 stars,111,https://www.amazon.in/Tecno-Spark-Spruce-Green-Storage/dp/B091FM4BB4/ref=sr_1_57?dchild=1&keywords=phones&qid=1621697207&sr=8-57
"Oppo F17 (Navy Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","16,990",4.0 out of 5 stars,"2,363",https://www.amazon.in/128GB-Storage-Additional-Exchange-Offers/dp/B086KDJ6NP/ref=sr_1_58?dchild=1&keywords=phones&qid=1621697207&sr=8-58
"Redmi Note 10 (Shadow Black, 4GB RAM, 64GB Storage) - Amoled Dot Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","12,499",4.0 out of 5 stars,"17,944",https://www.amazon.in/Test-Exclusive_2020_1139-Multi-3GB-Storage/dp/B089MS8NW8/ref=sr_1_59?dchild=1&keywords=phones&qid=1621697207&sr=8-59
"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera","10,000",4.2 out of 5 stars,"26,989",https://www.amazon.in/Test-Exclusive_2020_1113-Multi-3GB-Storage/dp/B089MS8XQ3/ref=sr_1_60?dchild=1&keywords=phones&qid=1621697207&sr=8-60
"Redmi 9 Prime (Matte Black, 4GB RAM, 64GB Storage) - Full HD+ Display & AI Quad Camera","10,000",4.3 out of 5 stars,"37,950",https://www.amazon.in/Redmi-Prime-Matte-Black-Storage/dp/B086982VLG/ref=sr_1_61?dchild=1&keywords=phones&qid=1621697207&sr=8-61
"I KALL K5 Smartphone (Blue, 2GB, 16GB)","4,170",2.0 out of 5 stars,5,https://www.amazon.in/KALL-K5-Smartphone-Blue-16GB/dp/B0928KFJ7X/ref=sr_1_62?dchild=1&keywords=phones&qid=1621697207&sr=8-62
"itel A47 (Cosmic Purple, 2GB RAM, 32GB Storage, 5.5'' HD+ IPS Display), L5505","5,299",3.9 out of 5 stars,137,https://www.amazon.in/itel-Cosmic-Storage-Display-L5505/dp/B08TNBQ3SH/ref=sr_1_63?dchild=1&keywords=phones&qid=1621697207&sr=8-63
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera,"10,000",4.2 out of 5 stars,"26,989",https://www.amazon.in/Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_64?dchild=1&keywords=phones&qid=1621697207&sr=8-64
"I KALL K380 Smartphone (7.12 Inch, 4GB, 32GB) (Purple)","6,599",,,https://www.amazon.in/KALL-K380-Smartphone-7-12-Purple/dp/B0957Q6432/ref=sr_1_65?dchild=1&keywords=phones&qid=1621697210&sr=8-65
"I KALL K280 Smartphone (3GB, 32GB) (Grey)","6,110",,,https://www.amazon.in/KALL-K280-Smartphone-32GB-Grey/dp/B0946PDGL7/ref=sr_1_66?dchild=1&keywords=phones&qid=1621697210&sr=8-66
"I KALL K8 Smartphone 4G Volte (2GB, 16GB) (Green)","4,170",2.5 out of 5 stars,3,https://www.amazon.in/KALL-K8-Smartphone-Volte-Green/dp/B0928MZSH9/ref=sr_1_67?dchild=1&keywords=phones&qid=1621697210&sr=8-67
"Redmi Note 10 (Aqua Green, 4GB RAM, 64GB Storage)","12,499",4.0 out of 5 stars,"17,944",https://www.amazon.in/Test-Exclusive_2020_1140-Multi-3GB-Storage/dp/B089MT36T8/ref=sr_1_68?dchild=1&keywords=phones&qid=1621697210&sr=8-68
"Samsung Galaxy M11 (Metallic Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","8,999",4.2 out of 5 stars,"1,279",https://www.amazon.in/Samsung-Metallic-Storage-Additional-Exchange/dp/B086KCCSDD/ref=sr_1_69?dchild=1&keywords=phones&qid=1621697210&sr=8-69
"OPPO A15 (Rainbow Silver, 2GB RAM, 32GB Storage) With No Cost EMI/Additional Exchange Offers","8,989",4.2 out of 5 stars,677,https://www.amazon.in/Rainbow-Silver-Storage-Additional-Exchange/dp/B07X8V6G3P/ref=sr_1_70?dchild=1&keywords=phones&qid=1621697210&sr=8-70
"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera","10,000",4.2 out of 5 stars,"26,989",https://www.amazon.in/Test-Exclusive_2020_1111-Multi-3GB-Storage/dp/B089MS8HPF/ref=sr_1_71?dchild=1&keywords=phones&qid=1621697210&sr=8-71
"Samsung Galaxy M02 (Gray,2GB RAM, 32GB Storage)","6,799",3.8 out of 5 stars,"7,299",https://www.amazon.in/Samsung-Galaxy-Gray-32GB-Storage/dp/B08T2R83TQ/ref=sr_1_72?dchild=1&keywords=phones&qid=1621697210&sr=8-72
"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","9,999",4.0 out of 5 stars,"11,644",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJCMGL7/ref=sr_1_74?dchild=1&keywords=phones&qid=1621697210&sr=8-74
"KECHAODA K10 Finger Bluetooth Phone, Single SIM, 0.66 inch Display, 300mAh Battery, DAILER, Wireless FM, BIS Certified (Black), Mini",999,3.5 out of 5 stars,709,https://www.amazon.in/Kechaoda-K10-Bluetooth-Wireless-Certified/dp/B07DX4RDZR/ref=sr_1_76?dchild=1&keywords=phones&qid=1621697210&sr=8-76
"Lava BeU Rose Pink, 2GB RAM, 32GB Storage + Lava Earphone E1 Black","6,624",3.6 out of 5 stars,76,https://www.amazon.in/Lava-Rose-Storage-Earphone-Black/dp/B08ZPWJ6WQ/ref=sr_1_77?dchild=1&keywords=phones&qid=1621697210&sr=8-77
"Micromax Dual Sim X749, Champagne","1,220",3.9 out of 5 stars,195,https://www.amazon.in/Micromax-X749-Champagne/dp/B083GV32B3/ref=sr_1_78?dchild=1&keywords=phones&qid=1621697210&sr=8-78
"I KALL K2 Plus 4G Smartphone (4GB, 64GB, Dual Sim) (Blue)","5,699",,,https://www.amazon.in/KALL-K2-Plus-Smartphone-64GB/dp/B0956VF3SV/ref=sr_1_79?dchild=1&keywords=phones&qid=1621697210&sr=8-79
"KECHAODA SM Company K33 Bluetooth Dialer with Camera and Dual Sim,Slim Card Size and Light Weight and Stylish Mobile Phone(Black)",999,3.9 out of 5 stars,38,https://www.amazon.in/KECHAODA-Company-Bluetooth-Dialer-Stylish/dp/B074P32V9D/ref=sr_1_80?dchild=1&keywords=phones&qid=1621697210&sr=8-80
"Samsung Galaxy M02 (Blue,3GB RAM, 32GB Storage)","7,299",3.8 out of 5 stars,"7,299",https://www.amazon.in/Samsung-Galaxy-Blue-32GB-Storage/dp/B08T2LYX5W/ref=sr_1_81?dchild=1&keywords=phones&qid=1621697214&sr=8-81
"realme narzo 20 (Glory Sliver, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,499",4.0 out of 5 stars,406,https://www.amazon.in/realme-Sliver-Storage-Additional-Exchange/dp/B092QGVZRG/ref=sr_1_82?dchild=1&keywords=phones&qid=1621697214&sr=8-82
"Oppo A54 (Crystal Black, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","14,490",5.0 out of 5 stars,1,https://www.amazon.in/Oppo-Crystal-Storage-Additional-Exchange/dp/B08ZJT55V9/ref=sr_1_83?dchild=1&keywords=phones&qid=1621697214&sr=8-83
"Oppo A54 (Moonlight Gold, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers, Large","14,490",5.0 out of 5 stars,1,https://www.amazon.in/Oppo-Moonlight-Storage-Additional-Exchange/dp/B08ZJTSL32/ref=sr_1_85?dchild=1&keywords=phones&qid=1621697214&sr=8-85
"Nokia 3.4 (Charcoal , 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","11,999",4.1 out of 5 stars,132,https://www.amazon.in/Nokia-3-4-Charcoal-Additional-Exchange/dp/B08V9VPT3K/ref=sr_1_88?dchild=1&keywords=phones&qid=1621697214&sr=8-88
"Redmi Note 10S (Shadow Black, 6GB RAM, 128GB Storage) - Super Amoled Display | 64 MP Quad Camera","15,999",,,https://www.amazon.in/Redmi-Shadow-Black-128GB-Storage/dp/B0948N6FWS/ref=sr_1_90?dchild=1&keywords=phones&qid=1621697214&sr=8-90
"Redmi Note 9 Shadow Black, 4GB RAM, 64GB Storage","10,999",4.3 out of 5 stars,"56,693",https://www.amazon.in/Redmi-Note-Shadow-Black-Storage/dp/B089MTR9JB/ref=sr_1_91?dchild=1&keywords=phones&qid=1621697214&sr=8-91
"Redmi Note 9 (Arctic White, 4GB RAM, 64GB Storage) - 48MP Quad Camera & Full HD+ Display","10,999",4.3 out of 5 stars,"56,693",https://www.amazon.in/Redmi-Note-Arctic-White-Storage/dp/B086982ZKF/ref=sr_1_93?dchild=1&keywords=phones&qid=1621697214&sr=8-93
"(Renewed) Samsung Galaxy M02s (Black,3GB RAM, 32GB Storage) | 5000 mAh | Triple Camera","7,999",,,https://www.amazon.in/Renewed-Samsung-Galaxy-Storage-Triple/dp/B094PRK34K/ref=sr_1_95?dchild=1&keywords=phones&qid=1621697214&sr=8-95
"Vivo Y31 (Ocean Blue, 6GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","16,490",4.1 out of 5 stars,284,https://www.amazon.in/Vivo-Y31-Storage-Additional-Exchange/dp/B08LRGCNDV/ref=sr_1_97?dchild=1&keywords=phones&qid=1621697218&sr=8-97
"Oppo A54 (Starry Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers, 4gb, 64gb","13,490",5.0 out of 5 stars,1,https://www.amazon.in/Oppo-Starry-Storage-Additional-Exchange/dp/B08ZJVY652/ref=sr_1_98?dchild=1&keywords=phones&qid=1621697218&sr=8-98
"OPPO A11K (Deep Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","8,490",4.0 out of 5 stars,824,https://www.amazon.in/OPPO-Storage-Additional-Exchange-Offers/dp/B086KF4FYC/ref=sr_1_99?dchild=1&keywords=phones&qid=1621697218&sr=8-99
"Samsung Galaxy M02s (Black,3GB RAM, 32GB Storage) | 5000 mAh | Triple Camera","8,999",4.1 out of 5 stars,"8,539",https://www.amazon.in/Samsung-Galaxy-Storage-Triple-Camera/dp/B08RSWQ6YZ/ref=sr_1_102?dchild=1&keywords=phones&qid=1621697218&sr=8-102
"Redmi 9 Prime (Mint Green, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","10,000",4.3 out of 5 stars,"37,950",https://www.amazon.in/Redmi-Prime-Storage-Display-Camera/dp/B08697MJDK/ref=sr_1_105?dchild=1&keywords=phones&qid=1621697218&sr=8-105
